Propagule ID,Collection Date,Mass (g),Total length (cm),Diameter (mm),Epicotyl length (cm),Hypocotyl color,Tag #,Treatment,Notes,Processed by,Date Entered,Entered by
RM_CP_070621_654,7/6/2021,20.2,29.4,11.45,4.3,YG,654,BB,,"LU, HAS, KWG",02/21/2022,HAS
RM_CP_061821_655,6/18/2021,15.68,26.2,10.54,3.8,G,655,BB,,"KH, AJH",02/21/2022,HAS
RM_CP_070621_656,7/6/2021,25.97,33.3,12.23,3.2,G,656,CC,,"LU, HAS, KWG",02/21/2022,HAS
RM_CP_061821_657,7/6/2021,12.61,29,9.25,8.7,YG,657,TP,,"KH, AJH",02/21/2022,HAS
RM_CP_070621_658,7/6/2021,16.53,31.1,10.18,3.7,G,658,TP,,"LU, HAS, KWG",02/21/2022,HAS
RM_CP_061821_659,7/6/2021,21.84,33.5,10.1,6.1,G,659,CC,,"KH, AJH",02/21/2022,HAS
RM_CP_070621_660,7/6/2021,15.46,28,9.59,4.8,G,660,CC,,"LU, HAS, KWG",02/21/2022,HAS
RM_CP_061821_661,7/6/2021,16.76,27.9,10.47,3.9,YG,661,CC,,"KH, AJH",02/21/2022,HAS
RM_CP_070621_662,7/6/2021,17.47,28.6,10.85,5.7,G,662,BB,,"LU, HAS, KWG",02/21/2022,HAS
RM_CP_061821_663,7/6/2021,25.42,39.7,10.63,6.4,G,663,TP,,"KH, AJH",02/21/2022,HAS
RM_CP_070621_664,7/6/2021,14.58,26.7,10.16,4.1,G,664,CC,,"LU, HAS, KWG",02/21/2022,HAS
RM_CP_061821_665,7/6/2021,22.24,37.9,10.06,6.5,G,665,TP,,"KH, AJH",02/21/2022,HAS
RM_CP_070621_666,7/6/2021,14.23,24.3,10.72,2.4,G,666,BB,,"LU, HAS, KWG",02/21/2022,HAS
RM_CP_061821_667,7/6/2021,28.62,41,11.85,5.2,G,667,CC,,"KH, AJH",02/21/2022,HAS
RM_CP_070621_668,7/6/2021,20.07,33.1,12.22,11.5,G,668,CC,,"LU, HAS, KWG",02/21/2022,HAS
RM_CP_061821_669,7/6/2021,14.91,25.5,9.98,3.1,B,669,BB,,"KH, AJH",02/21/2022,HAS
RM_CP_070621_670,7/6/2021,15.52,31.7,10.27,8.1,G,670,CC,,"LU, HAS, KWG",02/21/2022,HAS
RM_CP_061821_671,7/6/2021,19.16,34,10.1,6.8,G,671,BB,,"KH, AJH",02/21/2022,HAS
RM_CP_070621_672,7/6/2021,10.79,24.4,9.42,5.3,G,672,TP,,"LU, HAS, KWG",02/21/2022,HAS
RM_CP_061821_673,7/6/2021,23.9,32,11.77,2.8,G,673,TP,,"KH, AJH",02/21/2022,HAS
